#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.894143	-0.428515	-0.129937	-0.377949	-0.87784	0.294197	-0.240132	-0.213944	-0.946871	166.97	-23.1339	963.7
0.87113	-0.490284	-0.0274513	-0.46231	-0.837704	0.290725	-0.165534	-0.240569	-0.956413	177.038	-34.6993	982.23
0.834685	-0.545076	-0.0786977	-0.505342	-0.814844	0.284005	-0.218931	-0.197286	-0.955588	184.911	-45.9196	978.603
0.7516	-0.646755	-0.129632	-0.59898	-0.751504	0.276522	-0.276261	-0.130188	-0.952224	200.282	-57.5853	978.264
0.654408	-0.734376	-0.180116	-0.685581	-0.676739	0.268334	-0.31895	-0.0521161	-0.946338	212.781	-62.174	980.73
0.545666	-0.805817	-0.230017	-0.763649	-0.591185	0.259501	-0.345092	0.0340512	-0.937951	224.195	-75.3313	975.978
0.428267	-0.859438	-0.279203	-0.831712	-0.495695	0.250084	-0.353331	0.125114	-0.927094	232.388	-81.1174	974.282
0.364179	-0.87183	-0.327547	-0.860341	-0.449603	0.240148	-0.356634	0.194345	-0.913806	235.142	-93.732	969.011
0.240291	-0.895372	-0.374926	-0.911608	-0.340856	0.229757	-0.333514	0.286577	-0.898133	235.518	-99.6191	963.509
0.176012	-0.889715	-0.421221	-0.932229	-0.288094	0.218977	-0.316179	0.354132	-0.880126	235.377	-105.484	959.713
0.0541759	-0.882957	-0.466317	-0.963463	-0.168901	0.207875	-0.262307	0.438018	-0.859846	233.764	-118.258	957.922
-0.062737	-0.85782	-0.510107	-0.979457	-0.045227	0.196517	-0.191647	0.511956	-0.83736	230.62	-130.662	955.43
-0.11654	-0.825336	-0.552485	-0.982631	0.0149309	0.184969	-0.144413	0.564445	-0.81274	225.971	-136.047	950.159
-0.218626	-0.774683	-0.593354	-0.974536	0.142293	0.173297	-0.0498206	0.616132	-0.786066	219.837	-147.437	943.828
-0.308766	-0.710249	-0.632622	-0.949526	0.268879	0.161566	0.0553467	0.650577	-0.757421	208.268	-158.307	938.386
-0.367284	-0.605368	-0.706139	-0.911295	0.386143	0.142954	0.186131	0.696005	-0.693493	193.794	-162.227	927.898
-0.423206	-0.522458	-0.740226	-0.853027	0.505109	0.131188	0.305355	0.686952	-0.659436	177.737	-167.111	922.435
-0.434632	-0.408375	-0.802698	-0.782651	0.612248	0.112294	0.445593	0.677039	-0.585718	153.598	-170.887	910.743
-0.430381	-0.35254	-0.830956	-0.739784	0.665231	0.10093	0.517196	0.658167	-0.547106	140.412	-174.728	903.951
-0.402915	-0.247121	-0.881244	-0.645893	0.75896	0.0824802	0.648446	0.602421	-0.46541	119.948	-180.737	893.23
-0.393022	-0.172611	-0.903183	-0.534979	0.841799	0.0719176	0.747884	0.511449	-0.423189	104.894	-184.525	888.486
