#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
-0.966421	-0.129205	0.222119	0.244479	-0.728479	0.63996	0.0791229	0.672774	0.735605	-27.6575	-214.715	997.322
-0.944183	-0.0654714	0.322849	0.250459	-0.779286	0.574442	0.213982	0.623239	0.752186	-47.5138	-214.683	994.314
-0.905608	0.0523404	0.420873	0.160765	-0.875935	0.454855	0.392465	0.479582	0.784839	-57.248	-213.037	987.377
-0.842684	0.157092	0.514981	0.0616437	-0.922048	0.382136	0.534867	0.353766	0.767311	-67.6147	-209.496	980.039
-0.788701	0.25306	0.560278	-0.11236	-0.955336	0.273327	0.604422	0.15262	0.781908	-77.5842	-207.571	968.569
-0.722126	0.336663	0.604312	-0.298385	-0.939728	0.166966	0.6241	-0.059747	0.779057	-94.4823	-201.616	964.469
-0.669607	0.364885	0.646905	-0.388956	-0.914288	0.113095	0.632724	-0.175888	0.754137	-103.285	-198.449	951.872
-0.589085	0.424024	0.687883	-0.533535	-0.843429	0.0630001	0.606894	-0.329897	0.723082	-111.333	-193.983	943.135
-0.47277	0.439047	0.76402	-0.700381	-0.713384	-0.0234427	0.534747	-0.546188	0.644767	-124.757	-184.683	938.529
-0.386693	0.46073	0.798872	-0.812382	-0.580171	-0.0586337	0.436468	-0.671662	0.598636	-130.998	-174.375	934.012
-0.301946	0.466372	0.83146	-0.917689	-0.378426	-0.120999	0.258215	-0.799557	0.542249	-135.355	-163.128	919.111
-0.24908	0.442234	0.86162	-0.962519	-0.211619	-0.169633	0.107317	-0.871577	0.478368	-142.802	-150.744	909.315
